name,lat,lon,population,state
Butte,43.7229,-113.1721,2573,ID
Camas,43.4633,-114.8058,1044,ID
Clark,44.2839,-112.3512,839,ID
Cook,41.8401,-87.8168,5265398,IL
DuPage,41.852,-88.0856,934094,IL
Lake,42.3233,-88.0037,714484,IL
Will,41.445,-87.9786,696403,IL
Kane,41.9388,-88.4286,518648,IL
McHenry,42.3244,-88.4523,310749,IL
Winnebago,42.3363,-89.1609,285471,IL
Madison,38.8297,-89.9049,266112,IL
St. Clair,38.4703,-89.9284,258597,IL
Champaign,40.1401,-88.1992,206583,IL
Sangamon,39.7582,-89.6589,196759,IL
Peoria,40.788,-89.76,182439,IL
McLean,40.4909,-88.8473,171455,IL
Rock Island,41.4673,-90.5674,144694,IL
Tazewell,40.5075,-89.5134,131977,IL
Kendall,41.5906,-88.4288,130757,IL
LaSalle,41.344,-88.8859,109986,IL
Kankakee,41.1377,-87.8618,108104,IL
Macon,39.86,-88.9616,104331,IL
DeKalb,41.8935,-88.7703,100922,IL
Vermilion,40.1834,-87.7328,74953,IL
Williamson,37.7303,-88.9299,67271,IL
Adams,39.9879,-91.1885,65878,IL
Whiteside,41.7562,-89.9141,55932,IL
Jackson,37.7851,-89.3821,53676,IL
Boone,42.3231,-88.8234,53592,IL
Grundy,41.2851,-88.4185,52364,IL
Ogle,42.0426,-89.3207,51787,IL
Knox,40.9318,-90.2132,50193,IL
Henry,41.3531,-90.1314,49412,IL
Coles,39.5203,-88.2217,47542,IL
Macoupin,39.261,-89.9245,45152,IL
Stephenson,42.3518,-89.6623,44817,IL
Woodford,40.7883,-89.2113,38571,IL
Franklin,37.9923,-88.9242,38068,IL
Marion,38.6496,-88.919,37781,IL
